Airport Name,City,Country,3 Char Code,Identifier,Lat,Long,rand1,rand2,rand3
Icy Bay Airport,Icy Bay,United States,ICY,\N,59.968889,-141.661667,50,-9,A
Yakataga Airport,Yakataga,United States,CYT,PACY,60.08200073,-142.4929962,12,-9,A
Alakanuk Airport,Alakanuk,United States,AUK,PAUK,62.68004227,-164.6599274,10,-9,A
Sheldon Point Airport,Nunam Iqua,United States,SXP,\N,62.520556,-164.847778,12,-9,A
Kipnuk Airport,Kipnuk,United States,KPN,PAKI,59.93299866,-164.0310059,11,-9,A
False Pass Airport,False Pass,United States,KFP,PAKF,54.84740067,-163.4100037,20,-9,A
Nelson Lagoon Airport,Nelson Lagoon,United States,NLG,PAOU,56.00749969,-161.1600037,14,-9,A
Port Moller Airport,Cold Bay,United States,PML,PAAL,56.00600052,-160.5610046,20,-9,A
Klawock Airport,Klawock,United States,KLW,PAKW,55.57920074,-133.076004,80,-9,A
Quinhagak Airport,Quinhagak,United States,KWN,PAQH,59.75510025,-161.8450012,42,-9,A
Kotlik Airport,Kotlik,United States,KOT,PFKO,63.0306015,-163.5330048,15,-9,A
Koyukuk Airport,Koyukuk,United States,KYU,PFKU,64.87609863,-157.727005,149,-9,A
Scammon Bay Airport,Scammon Bay,United States,SCM,PACM,61.84529877,-165.5709991,14,-9,A
Nondalton Airport,Nondalton,United States,NNL,PANO,59.98020172,-154.8390045,314,-9,A
Pedro Bay Airport,Pedro Bay,United States,PDB,\N,59.782222,-154.1325,45,-9,A
Nunapitchuk Airport,Nunapitchuk,United States,NUP,\N,60.905833,-162.439167,12,-9,A
Kongiganak Airport,Kongiganak,United States,KKH,PADY,59.96080017,-162.8809967,30,-9,A
Nikolai Airport,Nikolai,United States,NIB,PAFS,63.01860046,-154.3580017,441,-9,A
Takotna Airport,Takotna,United States,TCT,\N,62.971944,-156.082778,825,-9,A
Pilot Station Airport,Pilot Station,United States,PQS,\N,61.934444,-162.899444,305,-9,A
Akiak Airport,Akiak,United States,AKI,PFAK,60.9029007,-161.2310028,30,-9,A
Tuluksak Airport,Tuluksak,United States,TLT,\N,61.096944,-160.969444,30,-9,A
Grayling Airport,Grayling,United States,KGX,\N,62.894444,-160.065,99,-9,A
Wainwright Airport,Wainwright,United States,AIN,PAWI,70.63800049,-159.9949951,41,-9,A
Zapala Airport,ZAPALA,Argentina,APZ,SAHZ,-38.975498,-70.113602,3330,-3,N
Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,RDS,SAHS,-37.3905983,-68.90419769,1968,-3,N
Colonia Sarmiento,Colonia Sarmiento,Argentina,OLN,\N,-45.6,-69.083333,849,-3,N
Grytvyken,Grytvyken,South Georgia and the Islands,\N,\N,-54.276667,-36.511667,538,-2,S
Rio Turbio,Rio Turbio,Argentina,RYO,\N,-51.533333,-72.3,1158,-3,N
Tte. Julio Gallardo Airport,Puerto Natales,Chile,PNT,SCNT,-51.67150116,-72.52839661,217,-4,S
Caleta Olivia,Caleta Olivia,Argentina,CVI,\N,-46.4333,-67.5333,124,-3,N
Fitz Roy,El Chalten,Argentina,\N,\N,-47.033333,-67.25,757,-3,N
Sierra Grande Airport,Sierra Grande,Argentina,SGV,SAVS,-41.59170151,-65.33940125,688,-3,N
Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,Argentina,IGB,SAVJ,-41.32089996,-69.57489777,2925,-3,N
Lago Posadas,Lago Posadas,Argentina,\N,\N,-47.533333,-71.75,748,-3,N
